Frame Count,Frame ID,Time(in milliseconds),E1_Dv1_(x,y),E1_Dv2_(x,y),E2_Dv1_(x,y),E2_Dv2_(x,y),E3_Dv1_(x,y),E3_Dv2_(x,y),D1,D2,D3
0,0.0,0.0, 867,574, 858,643, 568,581, 567,650, 294,591, 296,660, 
1,3.0,106.92222222222222, 853,572, 852,648, 546,584, 555,651, 287,591, 295,658, 
2,6.0,206.8777777777778, 853,574, 846,645, 573,586, 560,650, 305,593, 281,657, 
3,9.0,306.8444444444445, 860,572, 849,643, 578,582, 571,651, 301,592, 299,660, 
4,12.0,406.8, 872,572, 865,647, 577,581, 582,649, 291,597, 279,662, 
5,15.0,506.7666666666667, 860,573, 844,644, 562,583, 572,650, 297,595, 293,660, 
6,18.0,640.0555555555557, 857,576, 863,647, 570,585, 587,650, 296,598, 295,663, 
7,21.0,740.0111111111112, 861,573, 855,644, 572,585, 568,653, 282,598, 287,665, 
8,24.0,839.9777777777779, 866,574, 863,644, 574,586, 576,656, 285,596, 277,664, 
9,27.0,939.9444444444445, 854,575, 857,645, 579,586, 579,652, 303,597, 305,663, 
10,30.0,1039.9, 856,573, 847,644, 572,583, 579,650, 292,595, 295,662, 
11,33.0,1139.8666666666668, 856,574, 859,643, 575,583, 572,652, 290,594, 286,661, 
12,36.0,1239.8222222222223, 862,573, 855,640, 575,586, 571,652, 286,594, 296,668, 
13,39.0,1339.788888888889, 860,572, 863,643, 577,581, 572,654, 301,593, 301,660, 
14,42.0,1439.7444444444445, 848,576, 857,643, 576,584, 589,650, 293,593, 304,663, 
15,45.0,1539.7111111111112, 852,571, 849,644, 580,583, 579,651, 289,592, 301,659, 
16,48.0,1639.7222222222224, 865,566, 859,642, 580,578, 581,644, 302,593, 311,661, 
17,51.0,1739.6444444444446, 866,563, 858,642, 574,576, 582,642, 298,591, 300,660, 
18,54.0,1839.6000000000001, 864,562, 846,642, 581,572, 575,644, 285,591, 298,659, 
19,57.0,1939.5666666666666, 867,562, 861,642, 581,574, 580,642, 284,590, 295,656, 
20,60.0,2039.5444444444447, 855,559, 867,643, 573,572, 583,643, 281,591, 287,657, 
21,63.0,2139.477777777778, 856,559, 855,639, 586,565, 583,638, 292,588, 303,658, 
22,66.0,2239.4444444444443, 850,558, 860,643, 582,564, 577,640, 301,585, 309,655, 
23,69.0,2339.4555555555557, 854,556, 858,642, 574,558, 584,639, 300,585, 302,654, 
24,72.0,2439.377777777778, 862,551, 869,640, 572,556, 570,641, 287,586, 295,653, 
25,75.0,2539.3444444444444, 856,550, 859,639, 578,552, 583,639, 298,582, 308,649, 
26,78.0,2639.3, 849,550, 860,638, 565,550, 572,640, 304,580, 303,650, 
27,81.0,2739.277777777778, 853,548, 868,639, 585,548, 579,640, 300,580, 315,650, 
28,84.0,2839.222222222222, 866,552, 866,642, 573,547, 593,635, 309,580, 317,646, 
29,87.0,2939.2, 854,548, 854,640, 585,547, 582,638, 302,579, 307,649, 
30,90.0,3039.1444444444446, 845,545, 864,640, 573,543, 585,635, 312,579, 317,647, 
31,93.0,3139.1111111111113, 855,545, 854,641, 581,542, 592,637, 305,580, 309,651, 
32,96.0,3239.0777777777776, 863,544, 865,643, 587,540, 583,636, 310,575, 320,647, 
33,99.0,3339.0444444444447, 866,546, 868,639, 578,538, 588,634, 303,575, 322,646, 
34,102.0,3439.0, 858,543, 872,639, 579,537, 592,634, 311,573, 330,648, 
35,105.0,3538.9555555555557, 852,544, 855,637, 573,536, 583,633, 310,570, 320,652, 
36,108.0,3638.9222222222224, 855,541, 868,643, 574,537, 584,634, 304,571, 313,653, 
37,111.0,3738.888888888889, 860,545, 859,639, 584,538, 583,636, 319,567, 323,650, 
38,114.0,3838.844444444445, 858,544, 861,640, 592,537, 592,633, 312,567, 318,654, 
39,117.0,3938.811111111111, 859,541, 858,641, 577,533, 586,630, 311,566, 338,647, 
